## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^8[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  6  0  0  0  49  0  0  0  54  0  0  0  488  0  0  0  61  0  0  0  560  0  0  0  725  0  0  0  6249  0  0  0
[Gx:0Gx:2Gx:4]([])[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  51  0  0  0  509  0  0  0  1  0  0  0  30  0  0  0  696  0  0  0  6437  0  0  0  49  0  0  0  419  0  0  0
[Gx:0Gx:2Gx:4]([])^2[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  50  0  0  0  502  0  0  0  2  0  0  0  28  0  0  0  732  0  0  0  6464  0  0  0  38  0  0  0  376  0  0  0
[Gx:0Gx:2Gx:4]([])^4[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  34  0  0  0  481  0  0  0  3  0  0  0  30  0  0  0  748  0  0  0  6460  0  0  0  46  0  0  0  390  0  0  0
[Gx:0Gx:2Gx:4]([])^8[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  56  0  0  0  482  0  0  0  2  0  0  0  20  0  0  0  738  0  0  0  6463  0  0  0  44  0  0  0  387  0  0  0
[Gx:0Gx:1Gx:4]([])[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  47  0  0  0  3  0  0  0  491  0  0  0  38  0  0  0  505  0  0  0  31  0  0  0  6650  0  0  0  427  0  0  0
[Gx:0Gx:1Gx:4]([])^2[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  43  0  0  0  3  0  0  0  489  0  0  0  35  0  0  0  578  0  0  0  38  0  0  0  6640  0  0  0  366  0  0  0
[Gx:0Gx:1Gx:4]([])^4[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  40  0  0  0  2  0  0  0  522  0  0  0  28  0  0  0  553  0  0  0  33  0  0  0  6605  0  0  0  409  0  0  0
[Gx:0Gx:1Gx:4]([])^8[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  42  0  0  0  1  0  0  0  534  0  0  0  25  0  0  0  534  0  0  0  26  0  0  0  6623  0  0  0  407  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  5  0  0  0  34  0  0  0  48  0  0  0  516  0  0  0  64  0  0  0  578  0  0  0  667  0  0  0  6280  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])^2[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  2  0  0  0  26  0  0  0  55  0  0  0  541  0  0  0  63  0  0  0  562  0  0  0  696  0  0  0  6247  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])^4[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  3  0  0  0  33  0  0  0  67  0  0  0  455  0  0  0  51  0  0  0  536  0  0  0  739  0  0  0  6308  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])^8[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  5  0  0  0  37  0  0  0  76  0  0  0  504  0  0  0  80  0  0  0  555  0  0  0  732  0  0  0  6203  0  0  0
[Gx:1Gx:3]([])[Gx:1Gx:3]@(0,1,2,3,4)  546  0  0  0  35  0  0  0  6985  0  0  0  465  0  0  0  11  0  0  0  0  0  0  0  140  0  0  0  10  0  0  0
[Gx:1Gx:3]([])^2[Gx:1Gx:3]@(0,1,2,3,4)  568  0  0  0  35  0  0  0  7025  0  0  0  406  0  0  0  15  0  0  0  0  0  0  0  134  0  0  0  9  0  0  0
[Gx:1Gx:3]([])^4[Gx:1Gx:3]@(0,1,2,3,4)  584  0  0  0  35  0  0  0  7049  0  0  0  397  0  0  0  8  0  0  0  0  0  0  0  113  0  0  0  6  0  0  0
[Gx:1Gx:3]([])^8[Gx:1Gx:3]@(0,1,2,3,4)  576  0  0  0  29  0  0  0  7039  0  0  0  417  0  0  0  6  0  0  0  0  0  0  0  115  0  0  0  10  0  0  0
[Gx:2Gx:3]([])[Gx:2Gx:3]@(0,1,2,3,4)  744  0  0  0  6837  0  0  0  47  0  0  0  419  0  0  0  15  0  0  0  121  0  0  0  0  0  0  0  9  0  0  0
[Gx:2Gx:3]([])^2[Gx:2Gx:3]@(0,1,2,3,4)  799  0  0  0  6763  0  0  0  33  0  0  0  445  0  0  0  18  0  0  0  127  0  0  0  0  0  0  0  7  0  0  0
[Gx:2Gx:3]([])^4[Gx:2Gx:3]@(0,1,2,3,4)  753  0  0  0  6862  0  0  0  39  0  0  0  410  0  0  0  10  0  0  0  109  0  0  0  3  0  0  0  6  0  0  0
[Gx:2Gx:3]([])^8[Gx:2Gx:3]@(0,1,2,3,4)  633  0  0  0  7008  0  0  0  34  0  0  0  414  0  0  0  8  0  0  0  87  0  0  0  0  0  0  0  8  0  0  0
Gx:4([])Gx:4@(0,1,2,3,4)  7137  0  0  0  523  0  0  0  381  0  0  0  28  0  0  0  113  0  0  0  5  0  0  0  5  0  0  0  0  0  0  0
Gx:4([])^2Gx:4@(0,1,2,3,4)  7225  0  0  0  456  0  0  0  372  0  0  0  29  0  0  0  97  0  0  0  8  0  0  0  3  0  0  0  2  0  0  0
Gx:4([])^4Gx:4@(0,1,2,3,4)  7183  0  0  0  475  0  0  0  406  0  0  0  30  0  0  0  90  0  0  0  5  0  0  0  3  0  0  0  0  0  0  0
Gx:4([])^8Gx:4@(0,1,2,3,4)  7278  0  0  0  409  0  0  0  368  0  0  0  25  0  0  0  99  0  0  0  7  0  0  0  5  0  0  0  1  0  0  0
([])@(0,1,2,3,4)  7298  0  0  0  400  0  0  0  350  0  0  0  35  0  0  0  101  0  0  0  7  0  0  0  1  0  0  0  0  0  0  0
([])^2@(0,1,2,3,4)  7259  0  0  0  414  0  0  0  391  0  0  0  18  0  0  0  98  0  0  0  7  0  0  0  4  0  0  0  1  0  0  0
([])^4@(0,1,2,3,4)  7180  0  0  0  450  0  0  0  412  0  0  0  19  0  0  0  115  0  0  0  9  0  0  0  7  0  0  0  0  0  0  0
([])^8@(0,1,2,3,4)  7255  0  0  0  439  0  0  0  366  0  0  0  33  0  0  0  90  0  0  0  2  0  0  0  6  0  0  0  1  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  8  0  0  0  53  0  0  0  54  0  0  0  462  0  0  0  55  0  0  0  607  0  0  0  542  0  0  0  6411  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  4  0  0  0  50  0  0  0  42  0  0  0  493  0  0  0  67  0  0  0  535  0  0  0  628  0  0  0  6373  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  2  0  0  0  38  0  0  0  47  0  0  0  454  0  0  0  38  0  0  0  584  0  0  0  554  0  0  0  6475  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:1Gy:3][Gy:1Gy:3]@(0,1,2,3,4)  6  0  0  0  48  0  0  0  44  0  0  0  443  0  0  0  52  0  0  0  602  0  0  0  591  0  0  0  6406  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  40  0  0  0  37  0  0  0  494  0  0  0  61  0  0  0  565  0  0  0  618  0  0  0  6375  0  0  0
